polity2,Year,CCode,sanctions,sanctionsl1,dpolity,S,W,ndpolity,ds,dw,lagus,lagun,lagpopgled,laggdpchng,GDP_UN,pop1,logpop,MEast,demaut,lGDP_UN,dpolityb,Pdpolity,menergy,senergy,mindustry,sindustry,murban,surban
7,1973,352,0,0,0,1,0.75,0,0,0,NA,NA,NA,NA,1551,631,2.80002935924413,0,0.850000023841858,7.34665516317654,0,0.150943396226415,5.78871115521383,2.90607700186088,18,0,116,0
10,1974,352,0,0,3,1,1,0,0,0,NA,NA,NA,NA,1380,635,2.80277372529198,0,1,7.22983877815125,1,0.0140252454417952,3.35009077967729,2.69937721557389,18,0,116,0
10,1975,352,0,0,0,1,1,0,0,0.25,NA,NA,NA,NA,1155,639,2.8055008581584,0,1,7.05185562295589,0,0.0140252454417952,5.29874745647473,2.57491335104346,18,0,117,0
10,1976,352,0,0,0,1,1,0,0,0,NA,NA,6.41346,NA,1338,626,2.79657433321043,0,1,7.19893124068817,0,0.0140252454417952,4.85586604330426,2.38873666909647,18,0,118,0
10,1977,352,0,0,0,1,1,0,0,0,0,0,6.41357,18,1709,613,2.78746047451842,0,1,7.44366368311559,0,0.0140252454417952,4.52429486746445,2.65854308536964,18,0,213,0
10,1978,352,0,0,0,1,1,0,0,0,0,0,6.41379,15.8,2236,616,2.78958071216443,0,1,7.71244383427499,0,0.0140252454417952,4.84463766729639,2.72173405236552,19,0,219,0
10,1979,352,0,0,0,1,1,0,0,0,0,0,6.41411,7.6,2923,621,2.79309160017658,0,1,7.98036576511125,0,0.0140252454417952,5.01439519816937,3.14450398018913,19,0,224,0
10,1980,352,0,0,0,1,1,0,0,0,0,0,6.41456,9.9,3525,629,2.79865064544527,0,1,8.16763571524637,0,0.0140252454417952,5.97222874604341,2.13832115786742,19,0,230,0
10,1981,352,0,0,0,1,1,0,0,0,0,0,6.4151,5.9,3374,636,2.80345711564841,0,1,8.12385426310591,0,0.0140252454417952,5.43072998144153,4.17180971257613,19,0,236,0
10,1982,352,0,0,0,1,1,0,0,0,0,0,6.42649,3.1,3460,643,2.80821097292422,0,1,8.14902386805177,0,0.0140252454417952,4.97338773956464,3.09498499684082,32.1911121693281,14.1318726137049,243,0
